City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
248,bodo,67.28,14.405,279.23,89,100,2.57,NO,1682614898
249,dryden,49.7833,-92.7503,276.31,93,100,2.57,CA,1682614899
250,longyearbyen,78.2186,15.6401,271.06,69,0,9.77,SJ,1682614900
251,cabo san lucas,22.8909,-109.9124,301.27,77,0,1.34,MX,1682614641
252,guerrero negro,27.9769,-114.0611,292.51,64,18,4.05,MX,1682614902
253,qusmuryn,52.4503,64.6311,292.06,37,100,3.85,KZ,1682614903
254,itaituba,-4.2761,-55.9836,306.24,58,40,2.57,BR,1682614904
255,deniliquin,-35.5333,144.9667,294.6,41,93,6.23,AU,1682614905
256,vadso,70.0744,29.7487,278.64,75,0,7.72,NO,1682614905
257,walvis bay,-22.9575,14.5053,292.68,68,0,4.63,NA,1682614905
258,coquimbo,-29.9533,-71.3436,288.0,82,100,3.6,CL,1682614906
259,manjakandriana,-18.9167,47.8,290.98,98,60,3.03,MG,1682614906
260,utrik,11.2278,169.8474,299.75,83,57,8.13,MH,1682614907
261,ad dabbah,18.05,30.95,307.43,9,75,6.52,SD,1682614907
262,orapa,-21.2833,25.3667,299.55,30,8,1.92,BW,1682614908
263,ust'-uda,54.1742,103.0304,270.12,93,84,0.56,RU,1682614908
264,collie,-33.3667,116.15,280.43,92,41,1.51,AU,1682614909
265,ke-macina,13.9623,-5.3572,312.24,4,91,2.83,ML,1682614909
266,orel,52.9658,36.0803,286.12,88,100,3.13,RU,1682614909
267,kargopol',61.5071,38.9456,281.35,79,98,3.19,RU,1682614910
268,quatis,-22.4072,-44.2581,299.89,68,10,1.34,BR,1682614910
269,daru,-9.0763,143.2092,299.08,88,100,5.64,PG,1682614910
270,hirara,24.8,125.2833,295.3,88,75,2.57,JP,1682614911
271,banyuls de la marenda,42.4837,3.129,297.2,71,96,3.33,FR,1682614911
272,bayganin,48.6947,55.8742,293.15,53,100,3.16,KZ,1682614911
273,inirida,3.8653,-67.9239,303.12,70,89,1.35,CO,1682614912
274,itaueira,-7.6033,-43.0256,306.19,39,76,1.89,BR,1682614912
275,oranjemund,-28.55,16.4333,288.62,80,1,2.99,NA,1682614912
276,salalah,17.0151,54.0924,301.71,77,58,1.48,OM,1682614913
277,sola,-13.8833,167.55,300.07,74,1,1.49,VU,1682614913
278,isoka,-10.1606,32.6335,289.75,93,12,1.08,ZM,1682614914
279,fort bragg,35.139,-79.006,292.49,84,100,4.63,US,1682614914
280,chandler,33.3062,-111.8412,302.67,17,0,0.89,US,1682614628
281,lorengau,-2.0226,147.2712,300.14,81,84,0.37,PG,1682614904
282,tofol,5.3248,163.0078,300.5,81,100,6.74,FM,1682614915
283,sungailiat,-1.85,106.1333,300.12,80,63,0.62,ID,1682614915
284,weno,7.4515,151.8468,297.12,100,100,1.54,FM,1682614916
285,kone,-21.0595,164.8658,293.97,91,13,1.96,NC,1682614916
286,tazovsky,67.4667,78.7,264.89,97,93,1.74,RU,1682614917
287,kas,36.2018,29.6377,289.36,75,0,6.08,TR,1682614917
288,espanola,35.9911,-106.0806,288.78,40,53,0.89,US,1682614917
289,dalbandin,28.8947,64.4101,300.14,22,30,2.07,PK,1682614917
290,nemuro,43.3236,145.575,279.05,59,0,9.59,JP,1682614918
291,westport,41.1415,-73.3579,286.11,85,100,1.34,US,1682614918
292,sorong,-0.8833,131.25,299.45,86,94,2.56,ID,1682614918
293,taoudenni,22.6783,-3.9836,312.87,6,0,6.67,ML,1682614919
294,g'azalkent,41.5581,69.7708,290.51,50,26,3.35,UZ,1682614919
295,broome,42.2506,-75.833,286.66,62,68,1.34,US,1682614919
296,sitka,57.0531,-135.33,275.96,99,100,3.96,US,1682614920
297,kill devil hills,36.0307,-75.676,292.15,81,100,4.63,US,1682614859
298,qaqortoq,60.7167,-46.0333,276.24,72,78,3.55,GL,1682614920
299,labytnangi,66.6572,66.4183,269.55,91,100,6.96,RU,1682614921
300,bereznik,62.8551,42.7072,275.42,83,89,3.35,RU,1682614922
301,quesada,10.3238,-84.4271,303.49,35,8,2.46,CR,1682614922
302,remire-montjoly,4.9167,-52.2667,300.17,89,75,1.54,GF,1682614924
303,las lomitas,-24.7096,-60.593,303.37,32,0,0.93,AR,1682614926
304,ojinaga,29.5667,-104.4167,297.91,34,0,0.0,MX,1682614928
305,bonthe,7.5264,-12.505,303.25,63,12,5.52,SL,1682614929
306,nantucket,41.2835,-70.0995,285.37,77,75,3.6,US,1682614929
307,escanaba,45.7453,-87.0646,277.88,93,100,4.12,US,1682614846
308,parry sound,45.3501,-80.033,281.18,53,70,3.43,CA,1682614444
309,buala,-8.145,159.5921,299.62,81,10,0.53,SB,1682614931
310,mossel bay,-34.1831,22.146,291.11,77,28,4.19,ZA,1682614931
311,bethanie,-26.4833,17.15,297.59,13,0,4.53,NA,1682614932
312,palangkaraya,-2.2,113.8333,297.73,97,100,1.08,ID,1682614932
313,bismarck,46.8083,-100.7837,285.63,73,100,5.66,US,1682614800
